number,group_number,group_name,description,dimensions,price
8235GY-R,8235GY,Breaux Collection ,Right Side 2-Seater,58 x 34.5 x 33H,222.0
8203GY-2,8203GY-3,Iniko Collection ,Love Seat,57.5 x 33 x 34H,242.0
1708TBK-1*,1708TBK-1*,Odelia Collection,Twin Bed,HB: 60H  FB: 16H,181.0
1832-9,1832-1*,Cranfills Collection,Chest,41 x 19 x 54H,441.0
9636CC-3,9636CC-3,Laurelton Collection ,Double Reclining Sofa,90 x 40 x 40H,469.0
9636-2,9636-3,Laurelton Collection ,Doble Glider Reclining Love Seat with Center Console,79 x 40 x 40H,452.0
8325BRW-2,8325BRW-3,Greeley Collection ,Double Reclining Love Seat,59 x 36.5 x 39.5H,412.0
1715-5,1715-1*,Holverson Collection,Dresser,66 x 19 x 36H,389.0
1729K-1CK*,1729-1*,Vargehese Collection,California King bed,HB:62H  FB:20H,461.0
8239-2,8239-3,Mandeville Collection ,Love Seat,64 x 36 x 39H,373.0
8235SS-2,8235SS-3,Breaux Collection ,Love Seat,61.5 x 34.5 x 33H,242.0
1832-6,1832-1*,Cranfills Collection,Mirror,48 x 3 x 39H,107.0
1729K-1EK*,1729-1*,Vargehese Collection,Eastern King Bed,HB:62H  FB:20H,461.0
1729-9,1729-1*,Vargehese Collection,Chest,38 x 18 x 56H,393.0
8336-LC,8336,Keamey Collection ,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,319.0
8205CH-1,8205CH-1,Earl Collection ,Reclining Chair,32.5 x 36 x 40H,141.0
8480BRW-1,8480BRW-3,Pecos Collection ,Glider Reclining Chair,42 x 40 x 39H,278.0
1832K-1EK*,1832-1*,Cranfills Collection,Eastern King Platform Bed with Footboard Storage,HB: 62H FB: 19.75H,661.0
1715-9,1715-1*,Holverson Collection,Chest,35 x 19 x 52H,341.0
5435-36*,5435-36,Rochelle Collection ,Counter Height Table,47.5 x 59.5 x 36H,321.0
8203RD-1,8203RD-3,Iniko Collection ,Chair,35.5 x 33 x 34H,165.0
8245BR-3,8245BR-3,Kenner Collection ,Sofa,83 x 36 x 38H,338.0
1743-4,1743-1*,Korlan Collection,Night Stand,26.75 x 17 x 25.5H,132.0
1743-5,1743-1*,Korlan Collection,Dresser,61 x 17 x 36H,367.0
5438S,5438-96,Toulon Collection ,Side Chair,19.25 x 22 x 40H,68.0
8325BRW-3,8325BRW-3,Greeley Collection ,Double Reclining Sofa,79 x 36.5 x 39.5H,512.0
8327BLK-3,8327BLK-3,Deryn Collection ,Sofa,85.5 x 33.75 x 35.5H,313.0
1386-11C,1386D-1,Cinderella Collection ,Chair,18 x 20 x 38H,61.0
1745-5,1745-1*,Ruote Collection,Dresser,60 x 19 x 33H,323.0
1394N-1*,1394N-1*,Palace II Collection,Queen Sleigh Bed,HB: 71H FB: 34H,832.0
5547-78,5547-78*,Mantello Collection,Dining Table,42 x 60 - 78 x 30H,184.0
8216SD-1,8216SD-3,Cornelia Collection ,Chair,40.5 x 34.25 x 36.5H,170.0
4728BK,4728BK,Elwell Collection ,"Wedged Chairside Table, Black",24 x 16 x 23.5H,50.0
1394N-6,1394N-1*,Palace II Collection,Mirror,45.25 x 3.75 x 45.25H,137.0
1743-6,1743-1*,Korlan Collection,Mirror,47 x 1.25 x 41H,76.0
1394N-9,1394N-1*,Palace II Collection,"Chest, Marble Inset",44 x 21 x 58H,513.0
1743-9,1743-1*,Korlan Collection,Chest,36.5 x 17 x 51.5H,302.0
1790K-1CK*,1790-1*,Robindell Collection,California King bed,HB: 60H  FB: 18.75H,277.0
1790K-1EK*,1790-1*,Robindell Collection,Eastern King Bed,HB: 60H  FB: 18.75H,277.0
1790-1*,1790-1*,Robindell Collection,Queen Bed,HB: 60H  FB: 18.75H,245.0
1790-4,1790-1*,Robindell Collection,Night Stand,26 x 16 x 24.25H,101.0
1790-5,1790-1*,Robindell Collection,Dresser,66 x 18 x 36H,359.0
1790-6,1790-1*,Robindell Collection,Mirror,40 x 1.75 x 37.75H,69.0
1790-9,1790-1*,Robindell Collection,Chest,40 x 18 x 54.25H,334.0
1745-1*,1745-1*,Ruote Collection,Queen Platform Bed,HB: 44.5H  FB: 14.5H,337.0
1394-5,1394-1*,Palace Collection,"Dresser, Marble Inset",70 x 23 x 41H,572.0
1394N-5,1394N-1*,Palace II Collection,"Dresser, Marble Inset",70 x 23 x 41H,580.0
1394N-11,1394N-1*,Palace II Collection,"TV Chest, Marble Top",48 x 20 x 43.75H,448.0
1743K-1CK*,1743-1*,Korlan Collection,California King Platform Bed,HB: 47.25H  FB: 11.75H,478.0
1394-11,1394-1*,Palace Collection,"TV Chest, Marble Top",48 x 20 x 43.75H,435.0
1394-1*,1394-1*,Palace Collection,Queen Sleigh Bed,HB: 71H FB: 34H,832.0
1394-4,1394-1*,Palace Collection,"Night Stand, Marble Top",34 x 21 x 32H,288.0
1743K-1EK*,1743-1*,Korlan Collection,Eastern King Platform Bed,HB: 47.25H  FB: 11.75H,478.0
1394KN-1CK*,1394N-1*,Palace II Collection,California King Sleigh Bed,HB: 71H FB: 34H,964.0
1394-9,1394-1*,Palace Collection,"Chest, Marble Inset",44 x 21 x 58H,494.0
4605BK,4605BK,Rory Collection ," X-Base Bench, Black Bonded Leather ",48 x 16.5 x 18H,98.0
1394K-1CK*,1394-1*,Palace Collection,California King Sleigh Bed,HB: 71H FB: 34H,964.0
1743-1*,1743-1*,Korlan Collection,Queen Platform Bed,HB: 47.25H  FB: 11.75H,392.0
2049T-1,2049F-1,Gavino Collection ,Twin Metal Platform Bed,HB: 35.5H FB: 24.5H,77.0
5548-72,5548-72*,Stratus Collection,Dining Table,40 x 56-72 x 30H,211.0
5569-78,5569-78*,Avenhorn Collection,Dining Table,42 x 60 - 78 x 30H,220.0
1191F1S,1191F1S,Orson Collection ,Accent Chair,26 x 23 x 30H,73.0
5584S,5584*,Coel Collection,Side Chair,20.25 x 23.5 x 29.5H,57.0
5607-36RD,5607-36RD*,Chevre Collection,Round Counter Height Table,36 Dia X 36H,98.0
5492S,5492-52*,Edam Collection,Side Chair,20 x 24.5 x 37.5H,60.0
8289BU-3,8289BU,Bedos Collection,Sofa,84 x 34 x 33.5H,323.0
1824A,1824-112*,Catalonia Collection,Arm Chair,28.75 x 25 x 43.25H,117.0
5492-40,5492-52*,Edam Collection,Server,54 x 18 x 38.25H,352.0
1885KN-1CK,1885N-1,Zaira Collection ,California King Bed,HB: 52H FB: 14H,205.0
1824-50*,1824-112*,Catalonia Collection,Buffet & Hutch,66 x 19 x 90.5H,1146.0
1904KGY-1CK*,1904GY-1*,Beechnut Collection,California King bed,HB: 53.5 FB:21.25,211.0
5514RDS,5514-72*,Salema Collection,"Side Chair, Red",22 x 25 x 40.5H,84.0
1824-112*,1824-112*,Catalonia Collection,Dining Table,44 x 84 - 98 - 112 x 30H,613.0
5550-32,5550-32,Tirel Collection,3-Piece Pack Counter Height Set,Table: 23.75 x 47.25 x 36H Stool: 17.75 x 11.75 x 25H,108.0
1722-6,1722-1*,Langsat Collection,Mirror,42 x 2 x 37H,92.0
8245BR-2,8245BR-3,Kenner Collection ,Love Seat,57 x 36 x 38H,253.0
8215BJ-1,8215BJ-1,Walden Collection ,Push Back Reclining Chair,31 x 35 x 39H,167.0
5569A,5569-78*,Avenhorn Collection,Arm Chair,21 x 25 x 38H,55.0
5569-40,5569-78*,Avenhorn Collection,Server,54 x 18 x 38H,341.0
2528-64*,2528-64*,Alouette Collection,"Dining Table, Crackle Glass Insert",38 x 64 x 30H,191.0
5514BUS,5514-72*,Salema Collection,"Side Chair, Blue",22 x 25 x 40.5H,84.0
5548S,5548-72*,Stratus Collection,Side Chair,21 x 21 x 34H,59.0
5607-24,5607-36RD*,Chevre Collection,Counter Height Stool,19.5 Dia X 24H,28.0
5584,5584*,Coel Collection,Dining Table,35.5 x 35.5 x 29.5H,82.0
2220K-1EK*,2220-1,Lorenzi Collection ,Eastern King Platform Bed,HB: 44.5H FB: 13.5H,174.0
1722-1*,1722-1*,Langsat Collection,Queen Bed,HB: 62H FB: 23.25H,360.0
1727N-6,1727N-1*,Norhill Collection,Mirror,44 x 1 x 37H,53.0
1824-9,1824-1,Catalonia Collection ,Chest,42 x 19.25 x 54.5H,343.0
5514CHS,5514-72*,Salema Collection,"Side Chair, Chocolate",22 x 25 x 40.5H,84.0
1722K-1CK*,1722-1*,Langsat Collection,California King bed,HB: 62H FB: 23.25H,396.0
1727N-9,1727N-1*,Norhill Collection,Chest,36 x 18 x 49H,233.0
1722-5,1722-1*,Langsat Collection,"Dresser, Hidden Drawer",66 x 18 x 40H,348.0
1722-9,1722-1*,Langsat Collection,Chest,40 x 18 x 58H,331.0
H13475,H13475,Lenora Collection,Table Lamp,15 Dia x 30H,81.0
5492-52,5492-52*,Edam Collection,Round Dining Table,52 Dia x 30.25H,154.0
9669FCP-LL,9669FCP,Hankins Collection ,Left Side Reclining Love Seat with Console,67 x 37 x 39H,370.0
8201BLK-2,8201BLK-3,Jude Collection ,Double Glider Reclining Love Seat with Center Console,72.5 x 39 x 39H,434.0
5514GYS,5514-72*,Salema Collection,"Side Chair, Gray",22 x 25 x 40.5H,84.0
1722K-1EK*,1722-1*,Langsat Collection,Eastern King Bed,HB: 62H FB: 23.25H,396.0
2220K-1CK,2220-1,Lorenzi Collection ,California King Platform Bed,HB: 44.5H FB: 13.5H,174.0
2528S,2528-64*,Alouette Collection,Side Chair,19 x 25 x 39H,51.0
1722-4,1722-1*,Langsat Collection,"Night Stand, Hidden Drawer",28.75 x 18 x 29.75H,149.0
5548A,5548-72*,Stratus Collection,Arm Chair,23 x 25 x 32.5H,96.0
8480GRY-2PW,8480GRY-3,Pecos Collection ,Power Double Reclining Love Seat,65 x 40 x 39H,524.0
8327DBR-CR,8327DBR Sectional,Deryn Collection,Corner Seat,34.75 x 34.75 x 37H,198.0
5597-53*,5597-53*,Nelina Collection,Round Dining Table,53 Dia x 30H,237.0
2147SG-1*,2147SG-1,Mayville Collection ,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,142.0
2147FSG-1*,2147SG-1,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,147.0
8579DB-3,8579DB-3,Hume Collection ,Sofa,85.75 x 35 x 36.25H,318.0
B2013PRDC-1*,B2013PRDC-1,Rowe Collection , Twin/Twin Trundle Bed with Two Storage Drawers ,77.75 x 41.25 x 37.5H,255.0
1928-40,1928-78*,Celandine Collection,Server,58 x 18 x 34.75H,356.0
2456-64,2456-64,Decatur Collection ,Dining Table with Marble Top,38 x 64 x 30H,223.0
8469-3,8469-3,St. Claire Collection ,Sofa,91.25 x 36 x 34.75H,518.0
1916-84,1916-84*,Allura Collection,"Dining Table, Glass Insert",42 X 66-84 X 30.25H,333.0
1916S,1916-84*,Allura Collection,Side Chair,19.5 X 25 X 39H,70.0
1916-07,1916-84*,Allura Collection,"Bar, LED Lighting",54 X 19.5 X 41.5H,468.0
1916-50,1916-84*,Allura Collection,"Curio, LED Lighting",36 X 19.5 X 79.5H,507.0
5580-95,5580-95*,Wheaten Collection,Dining Table,42 x 77 - 95 x 30H,388.0
5580S,5580-95*,Wheaten Collection,Side Chair,19 x 24 x 37.5H,64.0
8327BLK-3,8327TL-3,Deryn Collection ,Love Seat,67.25 x 33.75 x 33.5H,313.0
5580-40,5580-95*,Wheaten Collection,Barndoor Server,56 x 18 x 36H,425.0
9734BK-2,9734BK-3,Rubin Collection ,Love Seat,63 x 36 x 36.5H,252.0
8327DBR-L,8327DBR Sectional,Deryn Collection,Left Side 2-Seater,61 x 36 x 37H,223.0
2423-36,2423-36,Junipero Collection ,Round / Oval Counter Height Table with Storage Base,42 x 42 – 60 x 36H,179.0
8405BJ-2,8405BJ-3,Corvallis Collection ,Love Seat,68 x 36.5 x 36.25H,393.0
8405BJ-4,8405BJ-3,Corvallis Collection ,Ottoman,30.75 x 23.5 x 20H,97.0
8327BE-1,8327BE-3,Deryn Collection ,Chair,40.25 x 33.75 x 35.5H,164.0
9715PU-2,9715PU,Charley Collection,Love Seat,60 x 33 x 38H,201.0
2220-5,2220-1,Lorenzi Collection ,Dresser,56.25 x 16 x 32.25H,171.0
1845-5,1845LED-1,Alonza Collection ,Dresser,66.5 x 17.75 x 42H,402.0
1718GY-40,1718GY-90*,Begonia Collection,Curio,54 X 18 X 54H,477.0
8469-2,8469-3,St. Claire Collection ,Love Seat,69.25 x 36 x 34.75H,450.0
8524RD-1,8524RD,Talbot Collection ,Reclining Chair,39 × 36.5 × 40.5 - 46.5H,269.0
5597WTS,5597-53*,Nelina Collection,Side Chair,20 X 25.5 X 32.5H,63.0
1928-78,1928-78*,Celandine Collection,Dining Table,38 x 60-78 x 30H,227.0
8327GY-1,8327GY-3,Deryn Collection ,Chair,40.25 x 33.75 x 33.5H,164.0
1928S,1928-78*,Celandine Collection,Side Chair,18.5 x 24 x 39H,68.0
9734TP-1,9734TP-3,Rubin Collection ,Chair,40.5 x 36 x 36.5H,175.0
2147KSG-1CK,2147SG-1,Mayville Collection ,California King Sleigh Bed,HB: 47.25H FB: 26.5H,216.0
8327DBR-R,8327DBR Sectional,Deryn Collection,Right Side 2-Seater,61 x 36 x 37H,223.0
8318-1PW,8318-3PW,Laertes Collection ,Power Reclining Chair,41.25 x 36.75 x 39.5H,395.0
1955-5,1955T-1,Lonan Collection ,Dresser,58 x 16 x 36H,220.0
2039W-4,2039TW-1,Lucida Collection ,Night Stand,23.75 x 15.75 x 24H,93.0
9700FCP-3,9700FCP,Cranley Collection ,Double Reclining Sofa,83 x 37.5 x 38.5H,425.0
1194TL,1194TL,Charisma Collection ,Accent Chair,28 x 30.25 x 34.75H,132.0
9734CH-2,9734CH-3,Rubin Collection ,Love Seat,63 x 36 x 36.5H,262.0
9734CH-3,9734CH-3,Rubin Collection ,Sofa,84.25 x 33.75 x 36.5H,330.0
1349-6,1349T-1,Glamour Collection ,Mirror,39 x 2 x 33H,63.0
5627W-36*,5627W-36*,Willow Bend Collection,Counter Height Table,39.75 X 60 X 36H,271.0
1718GY-1*,1718GY-1,Begonia Collection ,Queen Platform Bed with Footboard Storages,HB: 57H FB: 21.5H,428.0
1936-5,1936-1,Vestavia Collection ,Dresser,59 x 15.75 x 35.75H,199.0
1955-6,1955T-1,Lonan Collection ,Mirror,41 x 1 x 36H,40.0
1386TPP-1*,1386TPP-1,Cinderella Collection ,Twin Canopy Poster Bed,HB: 76H FB: 76H,348.0
2039TW-1*,2039TW-1,Lucida Collection ,Twin Bed,HB: 52H FB: 26H,194.0
9715PU-1,9715PU,Charley Collection,Chair,38 x 33 x 38H,126.0
9909BR-3*,9909BR,Comfort Living Collection ," Reversible 3-Seater, Left/Right Unit ",78 x 34 x 36H,497.0
2159-6,2159-1,Cumberland Collection ,Mirror,42 x 1.5 x 37H,83.0
1714W-4,1714W-1,Laurelin Collection ,Night Stand with Hidden Drawer,29 x 18 x 29.25H,122.0
2259GY-4,2259GY-1,Bethel Collection ,Night Stand with Hidden Drawer,28.5 x 18 x 29.75H,146.0
5585-40,5585-78*,Hyacinth Collection,Server,47.75 x 18 x 36H,302.0
586S,586,Ameillia Collection ,Side Chair,20 x 23 x 40H,45.0
2147F-1*,2147-1,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,145.0
1194CH,1194CH,Charisma Collection ,Accent Chair,28 x 30.25 x 34.75H,132.0
1708-5,1708T-1,Odelia Collection ,Dresser,59 x 18 x 37H,290.0
9701BLK-1,9701BLK,Dwyer Collection ,Chair,37 x 32 x 34.5H,114.0
2145-4,2145-1,Edina Collection ,Night Stand,23.5 x 16.25 x 24.5H,73.0
2147K-1EK*,2147-1,Mayville Collection ,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
8524RD-3,8524RD,Talbot Collection ,Double Reclining Sofa,86 × 36.5 × 40.5 - 46.5H,492.0
2145-1*,2145-1,Edina Collection ,Queen Bed,HB: 52H FB: 14H,131.0
2220F-1*,2220T-1,Lorenzi Collection ,Full Platform Bed,HB: 44.5H FB: 13.5H,121.0
1730-1*,1730-1*,Cotterill Collection,Queen Bed,HB:53.75H FB: 15.25H,183.0
1708-6,1708T-1,Odelia Collection ,Mirror,47.25 x 1 x 38H,69.0
1845LED-1CK,1845LED-1,Alonza Collection ,"California King Bed, LED Lighting",HB: 62H FB: 28H,0.0
5627W-24,5627W-36*,Willow Bend Collection,Counter Height Chair,19 X 23.5 X 42.25H,57.0
1192BL,1192BL,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
5627W-40,5627W-36*,Willow Bend Collection,Server,57.75 X 18 X 36H,337.0
5882F-1,5882-1,Fugue Collection,Full Bed,HB: 51H  FB: 16H,128.0
1192RN,1192RN,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
B1799-R,B1799T-1,Clementine Collection ,Twin Trundle,40.5 x 75.5 x 11.5H,143.0
2147TSG-1*,2147TSG,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,129.0
8327GY-R,8327GY Sectional,Deryn Collection,Right Side 2-Seater,61 ?36 ?37H,223.0
5562RF-54*,5562RF-54*,Oratorio Collection,Round Dining Table,54Dia X 30H,249.0
1908-6,1908-1,Summerlin Collection ,Mirror,38.5 x 1 x 36.5H,44.0
1296F2S,1296F2S,Avina Collection,"Accent Chair with Kidney Pillow, Teal",30.5 x  34 x 49H,189.0
5562S,5562RF-54*,Oratorio Collection,Side Chair,20.5 x 23.5 x 40.5H,73.0
1296F1S,1296F1S,Avina Collection,Accent Chair with Kidney Pillow， Charcoal,30.5 x  34 x 49H,189.0
2147FW-1*,2147TW,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,145.0
2147FW-1*,2147W-1,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,145.0
5600-36RD*,5600-36RD*,Cirrus Collection,"Round Dining Table, Adjustable Height",36 Dia x 30-36H,109.0
1845-5,1845-1,Alonza Collection ,Dresser,66.5 x 17.75 x 42H,402.0
5608-76,5608-76*,Springer Collection,Dining Table,36 X 76 X 30H,127.0
2952-05,2952-30,Halston Collection ,Sofa Table with Glass Top,48 x 18 x 28H,88.0
1904F-1*,1904T-1,Beechnut Collection ,Full Bed,HB: 53.5H FB: 21.25H,145.0
1192BL,1192BL,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
1916-1*,1916-1,Allura Collection ,"Queen Bed, LED Lighting",HB: 59.75H FB: 26.25H,327.0
2147SG-5,2147SG-1,Mayville Collection ,Dresser,58.25 x 15.75 x 33H,185.0
5473-103*,5473-103,Lordsburg Collection ,Double Pedestal Dining Table,48 x 79 – 103 x 30H,394.0
1711-1*,1711NC-1*,Raku Collection,Queen Platform Bed with Footboard Storage,HB: 58H FB: 18H,327.0
8327BE-3,8327BE-3,Deryn Collection ,Sofa,85.5 x 33.75 x 35.5H,313.0
1916-4,1916-1,Allura Collection ,"Night Stand, LED Lighting",28 x 17 x 28H,140.0
1730GY-1*,1730GY-1*,Cotterill Collection,Queen Bed,HB: 53.75H  FB: 15.25H,183.0
1730-4,1730-1*,Cotterill Collection,Night Stand,26.25 x 18.25 x 27.75H,104.0
5562RF-A2,5562RF-54*,Oratorio Collection,Swivel Chair,25.5 X 25.5 X 33.5H,129.0
3534-04,3534-30,Sicily Collection ,End Table with Glass Top,27 x 21 x 24.75H,99.0
1935-30,1935-30,Bonaventure Park Collection ,Cocktail Table with Glass Inset,54 x 31 x 20H,245.0
1935-05,1935-30,Bonaventure Park Collection ,Sofa Table,56 x 18 x 30H,243.0
3590-30,3590-30,Frolic Collection,Cocktail Table with Two Functional Drawers,48 x 24 x 18H,153.0
5600-24,5600-36RD*,Cirrus Collection,"Round Stool, Adjustable Height",14 Dia x 18-24H,31.0
8327GY-CR,8327GY Sectional,Deryn Collection,Corner Seat,34.75 ?34.75 ?37H,198.0
8327GY-L,8327GY Sectional,Deryn Collection,Left Side 2-Seater,61 ?36 ?37H,223.0
1978W-50*,1978W-112*,Elsmere Collection,Buffet & Hutch,70 X 21.25 X 92.5H,1151.0
2147BK-6,2147TBK,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,36.0
5627W-72,5627W-72*,Willow Bend Collection,Dining Table,40 X 72 X 30.75H,252.0
1916BK-1*,1916BK-1,Allura Collection ,"Queen Bed, LED Lighting",HB: 59.75H FB: 26.25H,329.0
5555-72*,5555-72,Cabezon Collection,Dining Table,40 x 72 x 30H,328.0
5555A,5555-72,Cabezon Collection,Arm Chair,21 x 24.25 x 33H,70.0
B2013DC-4,B2013DC-1*,Rowe Collection,Night Stand,23 x 17 x 21.75H,81.0
1715-BH,1715-94*,Holverson Collection,Bench with Back,60 x 20 x 36H,192.0
1904FGY-1*,1904GY-1*,Beechnut Collection,Full Bed,HB: 53.5 FB:21.25,145.0
2147F-1*,2147T-1,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,145.0
9701BLK-3,9701BLK,Dwyer Collection ,Sofa,82 x 32 x 34.5H,223.0
5562S,5562-96*,Oratorio Collection,Side Chair,20.5 x 23.5 x 40.5H,73.0
1916-5,1916-1,Allura Collection ,Dresser,63.75 x 17 x 39H,346.0
5473A,5473-103,Lordsburg Collection ,Arm Chair,25 x 25 x 40H,74.0
2147-9,2147T-1,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
1714BK-5,1714BK-1,Laurelin Collection ,Dresser with Hidden Drawer,65.25 x 18 x 40H,300.0
5627WS,5627W-72*,Willow Bend Collection,Side Chair,19 X 24 X 40H,53.0
5555-13*,5555-72,Cabezon Collection,Bench,59.25 x 16.25 x 18H,150.0
1730GY-4,1730GY-1*,Cotterill Collection,Night Stand,26.25 x 18.25 x 27.75H,104.0
B2013TFDC-1*,B2013FFDC-1,Rowe Collection ,Twin/Full Bunk Bed,78 x 56.25 x 65.5H,264.0
1928-1*,1928-1,Celandine Collection ,Queen Bed,HB: 63.25H FB: 20.75H,272.0
4514-15,4514-15,Madigan Collection , Writing Desk and Chair Table:  42 x 24 x 30H Chair:  17.5 x 21 x 38H ,"",90.0
5627W-13,5627W-72*,Willow Bend Collection,Bench,48 X 16 X 18.5H,61.0
1192RN,1192RN,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
2159-4,2159-1,Cumberland Collection , Night Stand with Hidden Drawer,29 x 18 x 30H,158.0
5555-40,5555-72,Cabezon Collection,Server,59.25 x 17.75 x 35.5H,426.0
4742PU,4742PU,Staunton Collection ,Lift Top Storage Bench,43.75 x 18.75 x 20.75H,109.0
5627W-40,5627W-72*,Willow Bend Collection,Server,57.75 X 18 X 36H,337.0
B1799-6,B1799T-1,Clementine Collection ,Mirror,32 x 1.5 x 42H,79.0
1978WA,1978W-112*,Elsmere Collection,Arm Chair,26.75 X 24.5 X 44H,127.0
1978WS,1978W-112*,Elsmere Collection,Side Chair,23.25 X 24.5 X 44H,117.0
1978W-112,1978W-112*,Elsmere Collection,Dining Table,44 X 76-94-112 X 30H,472.0
35810-T60,35810-T60,Chehalis Collection ,"60"" TV Stand with Slate Dx©cor",60 x 20 x 30H,306.0
B2053PRW-1*,B2053PRW-1,Galen Collection , Twin/Twin Trundle Bed with Two Storage Drawers ,77.75 x 41.25 x 37.5H,264.0
B2043-4,B2043FF-1,Bartly Collection ,Night Stand,23 x 17 x 21.75H,81.0
1707-9,1707NP-1*,Lavonia Collection,Chest,42 x 19 x 55.5H,345.0
5581-40,5581-54*,Ibiza Collection,Server,52 X 18 X 36H,413.0
5409-78,5409-78,Kavanaugh Collection ,Dining Table,42 x 60 – 78 x 30H,255.0
8256-R,8256-PW Sectional,Cinque Collection,Right Side Chaise,85 x 41.75 x 29 - 36H,807.0
B2043-4,B2043SB-1,Bartly Collection ,Night Stand,23 x 17 x 21.75H,81.0
1707-4,1707NP-1*,Lavonia Collection,Night Stand,28.25 x 19 x 29.5H,162.0
5546S,5546-84,Crawford Collection ,Side Chair,21.5 x 25.5 x 39.5H,72.0
17811*,17811,Alouette Collection,"Dining Table, All Glass",42 x 42 x 29H,118.0
B2053SBW-1*,B2053SBW-1,Galen Collection , Bunk Bed with Reversible Step Storage ,96.75 x 41.25 x 63.25H,470.0
5424-78*,5424-78*,Larchmont Collection,Dining Table,42 X 60-78 X 30H,334.0
1916KGY-1EK*,1916GY-1*,Allura Collection,"Eastern King Bed, LED Lighting",HB: 59.5H  FB: 26.25H,390.0
5034RUTS,5034,Amara Collection,"Metal Chair, Rustic",15.75 x 19.75 x 37.25H,49.0
5543-30,5543-30,Tarantula Collection ,Cocktail Table with Marble Top,50 x 28 x 20H,264.0
5566-29BK,5566-36*,Appert Collection,"Swivel Pub Height Chair, Black",20.5 x 19 x 39.5H,51.0
3224N-05,3224N-05,Daria Collection,Sofa Table / TV Stand,50 x 18 x 30H,173.0
5577GY-72*,5577GY-72*,Betmar Collection,"Dining Table, Glass Top",42 X 72 X 30.5H,262.0
5178GYS,5577GY-72*,Betmar Collection,Side Chair,17 x 23.25 x 39.25H,42.0
710-40,710-72TR,Daisy Collection,Server,52 x 18 x 36H,338.0
5566-24GY,5566-36*,Appert Collection,"Swivel Counter Height Chair, Gray",20.5 x 19 x 36.5H,48.0
5566-29GY,5566-36*,Appert Collection,"Swivel Pub Height Chair, Gray",20.5 x 19 x 39.5H,50.0
1762-4,1762-1*,Miter Collection,Night Stand,26 x 15.25 x 24.5H,82.0
292B-6,292B-1*,Narcine Collection,Mirror,54 x 2.5 x 37H,89.0
3608SV-01,3608SV-01,Brassica Collection,Round Cocktail Table with Faux Marble Top,34.5 Dia x 18H,151.0
5566-29WT,5566-36*,Appert Collection,"Swivel Pub Height Chair, White",20.5 x 19 x 39.5H,50.0
5566-24RD,5566-36*,Appert Collection,"Swivel Counter Height Chair, Red",20.5 x 19 x 36.5H,48.0
B2043-9,B2043PR-1,Bartly Collection ,Chest,30 x 17 x 37.25H,148.0
4614-F3,4614-F3,Fedora Collection ," Lift Top Storage Bench, Grey ",43 x 18 x 18.75H,88.0
1916GY-14,1916GY-1*,Allura Collection,Vanity Stool,60 x 16.75 x 66.5H,37.0
3608-01,3608-01,Brassica Collection,Round Cocktail Table with Faux Marble Top,34.5 Dia x 18H,151.0
8256-LPW,8256-PW Sectional,Cinque Collection,POWER Left Side Reclining Love Seat,71 x 41.75 x 29-36H,843.0
1916GY-5,1916GY-1*,Allura Collection,Dresser,63.75 x 17 x 39H,346.0
5566-24BK,5566-36*,Appert Collection,"Swivel Counter Height Chair, Black",20.5 x 19 x 36.5H,48.0
5424A,5424-78*,Larchmont Collection,Arm Chair,22 X 24.5 X 39H,78.0
5424S,5424-78*,Larchmont Collection,Side Chair,20 X 24.5 X 39H,63.0
5424-13,5424-78*,Larchmont Collection,Bench,52 X 16 X 18H,81.0
5424-40,5424-78*,Larchmont Collection,"Server, Glass Insert",54 X 18 X 34H,400.0
292B-4,292B-1*,Narcine Collection,"Night Stand, Marble insert",28 x 18 x 28H,162.0
586GY-14,586GY-82,Ameillia Collection ,"60"" Bench",60 x 16 x 20H,84.0
5035BLK-18,5035,Amara Collection ,"18"" Metal Stool, Black",14 x 14 x 18H,27.0
1916GY-15*,1916GY-1*,Allura Collection,Vanity Dresser with Mirror,16 x 16 x 19H,417.0
2039FW-1*,2039TW-1,Lucida Collection ,Full Bed,HB: 52H FB: 26H,237.0
2147KBK-1EK*,2147BK-1,Mayville Collection ,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
1883N-1*,1883N-1,Wade Collection ,Queen Wing Bed,HB: 48.5H FB: 14H,260.0
1824-1*,1824-1,Catalonia Collection ,Queen Bed,HB: 72.5H FB: 35.25H,651.0
1977-4,1977-1,Aviana Collection ,Night Stand,28 x 16 x 27.75H,128.0
